;statement;issue;person;channel;truth
4951;"Says Rep. Alexandria Ocasio-Cortez and Eugene DePasquale support ""socialized medicine,"" the Green New Deal and defunding the police.";environment;Scott Perry; in an ad;false
4952;The United Nations’ “new world order” agenda will create one world government with one world military and the end of national sovereignty.;environment;Viral image; in a Facebook post;false
4953;Says Joe Biden plans to “mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.”;environment;Donald Trump; in White House Rose Garden;false
4954;“Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking, which would eliminate 516,000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.”;environment;Paul Junge; in a campaign website;barely-true
4955;Says Donald Trump has opposed plans to clean up “Toxic chemicals that cause cancer (that) are in the water …. (and) put Wisconsin at risk.”;environment;League of Conservation Voters; in TV ad;half-true
4956;"""Bill Gates worked to end livestock production, and is pushing lab grown meat.""";environment;Facebook posts; in a Facebook post;half-true
4957;“Beachgoers trash Florida beaches with 13,000 pounds of litter after beaches reopen.”;environment;Facebook posts; in a headline in a Facebook post;mostly-true
4958;“Even President Trump’s own EPA has admitted that this rule (on air pollutants) threatens to cause serious health problems including brain damage and death and to inflict billions of dollars of economic damage on our struggling economy.”;environment;Nancy Pelosi; in a statement;half-true
4959;Says to leave objects in the sun to avoid contracting the coronavirus.;environment;Facebook posts; in a Facebook post;false
4960;Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.;environment;Donald Trump; in a campaign ad;mostly-true
4961;Says Joe Biden “just announced on CNN he will completely shut down drilling for oil and natural gas on day one of his administration.”;environment;Facebook posts; in a Facebook post;barely-true
4962;“Sen. Bernie Sanders led the effort to dump Vermont's nuclear waste on a poor Latino community in Texas.”;environment;Facebook posts; in a Facebook post;half-true
4963;On key issues including taxes, health care, the Green New Deal, abortion, and guns, there is “no daylight between” Bernie Sanders and Joe Biden.;environment;Republican National Committee; in a mass email;half-true
4964;"Says Bernie Sanders would “go beyond reform and reorder the economy in ways most Democrats — let alone most Americans — don’t support.""";environment;Pete Buttigieg; in a speech;barely-true
4965;“America’s carbon emissions are being reduced at a rate far higher than any country in the world.”;environment;Todd Gilbert; in a floor speech.;false
4966;“We’ve also seen in the time that he’s (Donald Trump) been president, an increase in carbon emissions going absolutely in the wrong way.”;environment;Jan Schakowsky; in committee hearing remarks;mostly-true
4967;“Over the past two years, climate and weather disaster damage has cost the U.S. over $400 billion.”;environment;Tammy Baldwin; in a tweet;mostly-true
4968;The typical anglerfish is seven feet long.;environment;Viral image; in a post on Facebook;pants-fire
4969;"""The Machinists Union does not (support the USMCA trade deal). And every environmental organization in this country (also) opposes it.""";environment;Bernie Sanders; in comments at a presidential debate;mostly-true
4970;"""FACT: Less than 1% of the trash in the ocean is from the United States.""";environment;Young America's Foundation; in a Facebook post;half-true
4971;"""That’s 5,615 projected coal-powered plants in just 8 countries. The USA has 15 - building 0 more.""";environment;Facebook posts; in a Facebook post;false
4972;An image shows animals burning in the Australia wildfires;environment;Viral image; in a post on Facebook;barely-true
4973;David Schweikert has “been convicted of 11 House ethics violations.”;ethics;Jevin Hodge; in a tweet;true
4974;"""Adam Laxalt fought an investigation into the oil industry, then they funded his campaign.""";ethics;Catherine Cortez Masto; in an ad;half-true
4975;Instead of fighting opioid  addiction, a nonprofit founded by J.D. Vance paid his “top political adviser” and funded “political polling.”;ethics;Tim Ryan; in an ad;mostly-true
4976;Says Burisma admitted in a Ukrainian court to paying Joe Biden $900,000.;ethics;Facebook posts; in a Facebook post;false
4977;Says Nancy Pelosi bought $1.25 million in Tesla stock the day before Joe Biden signed an order “for all federal vehicles” to be electric.;ethics;Facebook posts; in a Facebook post;barely-true
4978;"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”";ethics;Joe Biden; in a rally;true
4979;"When Sen. Kelly Loeffler heard about the COVID-19 risk, she “focused on her own portfolio” and ""profited from the pandemic.""";ethics;Raphael Warnock; in an interview;half-true
4980;"Says Debbie Mucarsel-Powell's family received $700,000 from the firm of ""violent warlord Ihor Kolomoisky,"" who is compared to Fidel Castro and Nicolás Maduro.";ethics;Congressional Leadership Fund; in an ad;half-true
4981;When Sara Gideon “knew the truth about” sexual allegations against a state lawmaker, “she could have called for an immediate investigation, but didn’t…Gideon knew for months, using her power to cover up.”;ethics;National Republican Senatorial Committee; in an ad;barely-true
4982;Says Susan Collins “pushed for policies that benefited her husband’s lobbying business.”;ethics;Sara Gideon; in an ad;barely-true
4983;Says Nancy Pelosi passed a bill awarding a $9 billion contract to her husband’s company.;ethics;Facebook posts; in a Facebook post;pants-fire
4984;“Trump administration just FIRED 54 scientists & cut off 77 grants at Fauci's NIH for not disclosing their ties to Communist China!”;ethics;Facebook posts; in a Facebook post;half-true
4985;Hospitals get paid more to list patients as COVID-19.;ethics;Facebook posts; in a Facebook post;half-true
4986;Says Dr. Anthony Fauci “stands to lose 100 million dollars on Bill Gates ‘vaccine’ for the coronavirus. Because he invested in this vaccine.”;ethics;Facebook posts; in an image;false
4987;Says CEOs got advance notice of COVID, then resigned to dump stock.;ethics;Facebook posts; in a Facebook post;false
4988;"Says Rudy Giuliani ""bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine"" in early February.";ethics;X posts; in a post;false
4989;“So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.”;ethics;Facebook posts; in a Facebook post;half-true
4990;“Nancy Pelosi’s Brother’s Company Received $737 Million from Obama’s Energy Dept!”;ethics;Facebook posts; in a YouTube video;false
4991;“Trump’s daughter works at the White House. Her husband works at the White House. Rudy’s son works at the White House. Barr’s son-in-law works at the White House. Barr’s daughter works at Treasury. Trump’s sons do foreign business. Trump’s daughter is getting Chinese patents and Saudi grants.”;ethics;Facebook posts; in a Facebook post;mostly-true
4992;"""Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company,"" that paid his son Hunter.";ethics;Rick Scott; in a TV ad in Iowa;false
4993;"""Elaine Chao BUSTED Sending $97 Million Contract To Help Mitch McConnell Win Reelection.""";ethics;Facebook posts; in a social media post;half-true
4994;"""The Inspector General’s report now makes clear that the FBI launched an intrusive investigation of a U.S. presidential campaign on the thinnest of suspicions.""";ethics;William Barr; in a statement;barely-true
4995;"""I am the only member of Congress that voted for both inquiries -- the Clinton inquiry and now the Trump inquiry.""";ethics;Ron Kind; in a TV interview;true
4996;"""When my father became commander in chief of this country, we got out of all international business.""";ethics;Eric Trump; in a Fox News appearance;pants-fire
4997;"""Longstanding whistleblower rules (were changed) just before submittal of the fake whistleblower report.""";ethics;Donald Trump; in a tweet;false
